Sample,0,1,2,3,4,5,6,7,8,9
0,55,61,42,70,72,95,78,103,105,119
1,51,72,55,55,89,102,85,72,100,119
2,51,76,60,68,97,88,85,85,74,116
3,48,76,59,59,91,70,84,92,115,106
4,62,57,63,54,87,97,72,87,94,127
5,57,67,51,77,102,97,82,70,81,116
6,49,81,54,78,97,89,89,61,104,98
7,63,76,47,56,73,88,82,97,112,106
8,49,53,45,76,82,83,89,112,103,108
9,67,70,48,84,75,82,101,88,91,94
10,47,79,49,70,64,91,89,78,114,119
11,56,58,43,66,76,100,89,76,134,102
12,77,62,41,70,80,71,99,77,108,115
13,40,69,49,74,71,86,111,89,83,128
14,51,65,53,56,77,91,89,94,102,122
15,45,67,64,53,70,73,99,111,115,103
16,54,67,58,52,63,113,98,88,91,116
17,50,76,51,64,81,92,86,91,103,106
18,43,80,65,62,81,79,111,76,102,101
19,51,87,68,56,78,83,94,71,88,124
20,38,93,60,56,100,97,75,82,98,101
21,50,73,49,66,74,80,101,92,91,124
22,42,102,40,75,71,81,89,64,114,122
23,63,127,47,56,99,70,99,57,99,83
24,57,66,54,70,76,86,84,84,106,117
25,81,57,52,76,85,84,93,75,95,102
26,51,62,53,56,98,71,84,71,135,119
27,70,60,54,60,76,90,52,81,134,123
28,67,55,59,51,75,108,83,85,114,103
29,59,57,61,75,103,97,69,83,104,92
30,63,46,76,59,79,118,75,71,111,102
31,65,41,68,63,82,92,77,83,117,112
32,52,43,64,62,85,95,78,75,123,123
33,64,57,59,67,69,115,70,89,108,102
34,54,43,69,71,70,118,59,90,121,105
35,62,60,52,74,73,99,82,81,104,113
36,69,66,61,63,87,87,76,83,111,97
37,60,63,63,78,89,104,69,83,114,77
38,53,57,60,80,95,110,84,64,91,106
39,51,54,62,79,62,112,75,89,111,105
40,56,58,64,62,84,95,92,85,97,107
41,63,66,70,64,79,82,78,70,120,108
42,65,56,77,68,62,101,67,66,140,98
43,72,53,66,63,66,99,81,84,111,105
44,59,56,75,66,64,103,75,87,101,114
45,59,42,62,66,101,97,70,81,95,127
46,63,50,65,56,76,86,82,90,119,113
47,50,50,62,71,78,96,81,96,117,99
48,50,48,59,62,79,105,84,70,125,118
49,64,52,76,61,65,120,66,76,121,99
50,52,44,81,64,77,98,82,85,118,99
51,52,49,58,64,70,108,79,101,109,110
52,62,48,58,75,83,91,78,78,111,116
53,69,60,60,64,66,97,78,66,113,127
54,50,65,68,86,69,93,62,79,120,108
55,61,68,54,75,76,91,81,80,107,107
56,55,45,75,75,63,113,61,66,135,112
57,70,60,60,83,61,96,76,74,105,115
58,62,67,56,70,78,97,79,85,88,118
59,57,53,62,60,75,102,75,77,123,116
60,65,48,51,67,76,91,80,83,123,116
61,52,56,65,63,91,74,89,65,119,126
62,67,34,74,65,91,90,75,93,105,106
63,72,33,64,71,81,73,98,68,122,118
64,60,49,53,73,81,93,90,94,104,103
65,59,50,77,68,71,105,83,76,114,97
66,63,43,59,78,69,92,94,62,115,125
67,76,58,64,83,78,104,63,71,92,111
68,64,36,61,70,80,96,77,87,125,104
69,47,48,62,72,93,111,75,86,85,121
70,76,49,55,69,72,82,76,90,106,125
71,78,56,59,63,80,82,95,84,93,110
72,61,59,64,73,71,96,94,86,97,99
73,61,46,44,74,77,105,82,81,95,135
74,64,54,49,69,72,87,95,89,100,121
75,50,54,66,66,64,88,101,85,108,118
76,77,42,53,66,96,100,97,72,90,107
77,47,52,52,91,77,103,108,75,92,103
78,58,46,59,76,69,78,95,94,108,117
79,66,40,45,56,75,95,84,98,120,121
80,60,57,71,66,69,87,64,103,124,99
81,58,47,73,61,68,107,71,73,109,133
82,68,39,75,76,59,96,88,75,106,118
83,69,51,60,76,73,76,83,85,121,106
84,66,48,56,69,79,83,87,84,115,113
85,55,45,65,82,84,87,87,73,110,112
86,59,38,66,73,58,96,76,78,135,121
87,68,69,66,63,76,82,90,70,106,110
88,62,48,70,68,78,74,71,80,108,141
89,86,58,52,64,85,72,76,91,107,109
90,66,51,76,76,84,89,73,74,108,103
91,56,48,78,72,68,106,98,75,97,102
92,52,58,56,88,65,85,84,78,118,116
93,61,77,55,98,88,74,104,50,118,75
94,75,60,52,75,74,97,67,81,108,111
95,69,51,64,71,85,88,67,77,121,107
96,57,47,56,81,75,108,69,77,131,99
97,66,51,51,58,81,103,96,79,111,104
98,72,42,69,70,73,83,79,77,118,117
99,74,44,61,76,66,93,82,74,108,122
100,50,63,69,81,84,76,103,72,83,119
101,66,53,56,74,68,112,73,86,115,97
102,76,43,52,66,77,87,90,82,111,116
103,65,47,53,63,71,104,96,82,110,109
104,57,45,60,90,85,93,101,69,108,92
105,93,59,62,64,73,68,78,82,114,107
106,74,41,52,78,66,107,75,76,113,118
107,62,55,60,59,63,101,96,91,109,104
108,73,42,75,64,73,84,100,76,115,98
109,59,45,71,70,73,81,108,75,104,114
110,56,37,67,70,81,91,84,94,112,108
111,60,37,68,70,68,92,75,85,127,118
112,62,54,67,78,68,98,65,81,131,96
113,63,36,58,78,62,100,94,80,103,126
114,71,54,85,73,69,95,57,68,110,118
115,78,44,71,65,87,86,65,75,111,118
116,84,46,82,61,75,78,81,76,112,105
117,87,47,54,64,73,95,76,72,108,124
118,80,39,58,57,70,113,65,89,92,137
119,89,37,52,58,86,83,82,78,108,127
120,70,40,80,63,53,103,77,81,110,123
121,78,47,47,92,78,79,83,71,125,100
122,78,51,50,64,72,83,64,70,126,142
123,90,40,34,72,68,71,88,76,124,137
124,88,52,46,72,69,93,74,86,100,120
125,90,36,42,73,85,76,71,80,121,126
126,76,42,45,75,79,96,77,71,119,120
127,97,35,46,104,70,74,80,85,100,109
128,74,45,45,62,76,81,99,93,97,128
129,78,56,42,57,88,100,87,85,96,111
130,92,41,44,69,67,73,86,89,99,140
131,76,45,44,57,68,101,102,84,103,120
132,74,44,55,61,59,81,98,102,128,98
133,84,60,41,65,54,78,72,107,113,126
134,93,47,62,59,61,86,94,84,107,107
135,60,50,57,69,70,97,79,85,118,115
136,71,48,32,79,60,100,68,98,120,124
137,81,46,54,66,89,85,84,69,104,122
138,87,53,38,60,74,104,78,81,101,124
139,89,45,42,62,69,101,81,93,104,114
140,90,31,48,68,83,75,89,89,117,110
141,69,49,56,57,83,106,86,93,96,105
142,76,48,55,68,76,91,80,82,111,113
143,75,37,44,68,84,61,83,112,104,132
144,72,52,43,72,78,106,68,85,124,100
145,84,50,48,68,78,87,85,75,107,118
146,65,53,49,74,50,96,93,83,135,102
147,70,55,55,59,55,84,102,99,122,99
148,67,51,50,77,60,95,105,62,108,125
149,73,43,39,73,52,86,86,96,115,137
150,78,49,53,51,70,82,102,68,132,115
151,76,40,57,70,70,76,88,83,118,122
152,72,50,52,56,68,98,100,83,114,107
153,77,54,39,73,79,88,100,85,92,113
154,79,57,46,68,81,86,77,92,104,110
155,89,50,53,70,84,81,62,73,119,119
156,60,44,64,70,54,107,93,93,99,116
157,85,46,53,61,75,96,70,78,113,123
158,64,33,55,66,63,109,88,79,118,125
159,69,39,54,71,62,86,82,99,110,128
160,65,49,46,60,65,104,74,78,134,125
161,70,48,28,64,61,108,69,117,122,113
162,60,65,47,70,66,100,92,71,115,114
163,56,46,36,70,73,112,85,97,109,116
164,71,49,38,60,74,100,89,74,116,129
165,70,67,45,69,61,87,86,84,111,120
166,75,52,47,55,60,89,70,94,135,123
167,60,60,50,61,69,113,69,78,119,121
168,72,61,39,65,72,81,71,85,123,131
169,72,49,47,70,72,95,66,76,113,140
170,79,55,43,50,58,79,96,74,124,142
171,78,59,45,60,67,97,82,85,103,124
172,68,58,39,63,66,84,75,84,120,143
173,86,47,40,50,66,83,88,90,115,135
174,55,64,34,74,63,107,84,95,103,121
175,65,71,34,47,75,86,97,94,113,118
176,89,82,45,51,72,97,80,65,103,116
177,69,65,38,57,63,100,64,100,119,125
178,86,52,30,79,63,93,84,82,105,126
179,101,54,44,73,61,87,84,73,105,118
180,84,43,36,75,70,93,81,83,103,132
181,77,41,41,55,80,106,88,85,111,116
182,103,50,45,55,50,102,87,76,121,111
183,96,49,51,67,55,99,82,92,108,101
