Keyword,Frequency_all
dh,30943
kids,28533
feel,21156
time,20528
love,19390
husband,17176
hate,17135
day,16246
work,12490
today,11606
life,11364
sex,11113
dd,11106
mom,10533
people,10332
ds,10330
back,9742
home,9734
good,9704
baby,9659
make,9581
night,9060
bad,8649
house,8538
fucking,8433
years,8350
fuck,7998
year,7901
shit,7683
son,7593
makes,6573
family,6440
told,6403
ll,6340
bed,6319
friends,6230
days,6071
ass,6032
kid,6029
stop,5979
sleep,5930
job,5827
sick,5606
married,5587
friend,5504
happy,5427
care,5400
tired,5398
week,5372
man,5366
