PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Overall
234443,"If my H forces me to watch stand up comedy that only he likes ONE MORE TIME, I am going to punch him and then leave him.",forces watch stand comedy likes time punch leave ,4,hate people friends family friend,0.6,P,0,AGREEMENT,282,107,763,1152
234449,"I've been playing at an affair with a younger guy, trying to not let it get serious. Now, I'm hopelessly in love with him, and I either leave my husband and precious kids, or I give him up, which would rip my heart out.",ve playing affair younger guy hopelessly love leave husband precious kids give rip heart ,0,love husband sex good years,-0.2,NEU,0.57,DISAGREEMENT,357,59,654,1070
268547,I'm making more money than I ever did being an escort. I wish DH knew and was okay with it. Life couldn't be much sweeter than that.,making money escort dh knew life couldn sweeter ,0,love husband sex good years,-0.1,NEU,0.7,DISAGREEMENT,357,59,654,1070
126733,You called me at work after I had been there for 10 fucking minutes to ask me if you had enough money for eggs?? I mean really.....do you need me to hold your dick for you when you piss too??,called work fucking minutes money eggs hold dick piss ,2,dh fucking fuck shit ass,-0.8,N+,0,AGREEMENT,632,95,319,1046
215899,"I wanna go back to West Virginia, dh could become a coal miner and I could get my old cleaning job back, Floridas got no jobs and it totally sucks to be alone here :(",wanna back west virginia dh coal miner cleaning job back floridas jobs totally sucks ,2,dh fucking fuck shit ass,-0.8,N+,0.16,AGREEMENT,151,105,664,920
266062,"I get so fucking tired of hearing the word mommy sometimes... I just want to pull all my hair out and scream!!! I have to tell myself ""I love them... I love them...""",fucking tired hearing word mommy pull hair scream love love ,2,dh fucking fuck shit ass,0.8,P+,0,AGREEMENT,151,105,664,920
201751,"I love how when I'm upset about something he pretends not to notice.I'm not letting this one go,I want answers. No I'm not overreacting. If you would just explain I might understand. Try me if you think I'm worth it",love upset pretends notice letting answers overreacting explain understand worth ,9,don feel bad make life,0.1,NEU,0.7,DISAGREEMENT,795,34,51,880
213613,I love licking my wife's asshole. It's naughty and it makes her cum hard. That's a special kind of awesome.,love licking wife asshole naughty makes cum hard special kind awesome ,0,love husband sex good years,N,N,N,N,120,24,719,863
234437,I'm alone at a hotel on the beach. I'm so so tired I can't even imagine walking down to the water. I have dark circles under my eyes and look like hell bcuz I've just been thru hell. Hope this helps somehow,hotel beach tired imagine walking water dark circles eyes hell bcuz ve hell hope helps ,2,dh fucking fuck shit ass,-0.7,N+,0.1,AGREEMENT,12,751,58,821
222961,"I had a great, sweet, kind kid who was everything a mother could ask for. Then, he turned 13 and almost overnight became sneaky, disrespectful and overall a real pain in the ass to live with. I hope it's just a phase.",great sweet kind kid mother turned overnight sneaky disrespectful real pain ass live hope phase ,7,baby back year son school,0.03,NEU,0.81,DISAGREEMENT,712,28,72,812
230790,"I preach to my kids about not eating junk and what do I have for breakfast??? dorritos with sour cream, a left over egg roll and a king size kit kat. yeah im a hefer.",preach kids eating junk breakfast dorritos sour cream left egg roll king size kit kat yeah im hefer ,5,eat fat food big dinner,0,NEU,0.6,DISAGREEMENT,618,154,9,781
197507,If this kid poops in his pants one more time today I might loose my freaking mind,kid poops pants time today loose freaking mind ,5,eat fat food big dinner,-0.6,N,0,AGREEMENT,21,3,747,771
234434,Wish my med issues would be resolved...I want to leave but I need the insurance...there's something better out there for me & the kiddos!!!! I will leave...soon,med issues resolved leave insurance kiddos leave ,6,kids mom kid im child,0.7,P+,0.1,AGREEMENT,636,43,86,765
268537,I am a much better mother when other people are around. When we're alone I basically let DD do whatever she wants or shout at her.,mother people basically dd shout ,6,kids mom kid im child,N,N,N,N,636,43,86,765
268534,mom died 3 mnths ago... taking care of dad now... scared to death he will die on me soon too :( i will fucking lose it if he goes...,mom died mnths ago taking care dad scared death die fucking lose ,6,kids mom kid im child,-0.63,N+,0.07,AGREEMENT,636,43,86,765
234331,"Why do I keep trusting farts after eating Chinese. I should know better, it happens EVERY time. Time to go change....again....",trusting farts eating chinese time time change ,5,eat fat food big dinner,0.8,P+,0,AGREEMENT,57,9,697,763
234432,"Been married over a year & haven't been able to have sex.Too scared,we have tried but it doesnt work.Husband has bought stuff to make 'down there' bigger but Im terrified of using it.Feel so bad about myself & for him",married year haven sex scared doesnt work husband bought stuff make bigger im terrified feel bad ,7,baby back year son school,-0.47,N,0.61,DISAGREEMENT,139,543,34,716
234442,Im so sick of dh living payday Loan to payday loans going to bank tomorrow to al for a loan fml,im sick dh living payday loan payday loans bank tomorrow al loan fml ,6,kids mom kid im child,-0.6,N,0,AGREEMENT,18,517,162,697
180388,I would totally screw Dr. Phil's brains out.,totally screw dr phil brains ,7,baby back year son school,N,N,N,N,519,128,11,658
