PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Overall
14226,"I confess...I've learned that money may buy you things and experiences, but it clearly doesn't buy you ""nice.""",confess ve learned money buy things experiences doesn buy nice ,1,today didn told wanted made,-0.6,N,0,AGREEMENT,14,388,4,406
254830,"Started to give DH head, then the kids woke up and walked in on us. Secretly thankful I didn't have to finish.",started give dh head kids woke walked secretly thankful didn finish ,1,today didn told wanted made,0.6,P,0,AGREEMENT,14,388,4,406
234444,I got the iPhone 5 today! So glad. Pretty sad but my ipad2 and iPhone are the ONLY entertainment I get besides my kids. My devices don't talk back cry or shit themselves so yep I pretty much covet them.,iphone today glad pretty sad ipad iphone entertainment kids devices don talk back cry shit yep pretty covet ,1,today didn told wanted made,0.65,P+,0.1,AGREEMENT,36,155,199,390
198231,I'm too drunk too read all of these... already a good day. :),drunk read good day ,1,today didn told wanted made,0.7,P+,0.1,AGREEMENT,38,6,304,348
36748,"Sometimes I read porn stories about incest and pregnancy... Sick, I know. In real life, it'd gross me out, but for some reason these stories get me all fired up.",read porn stories incest pregnancy sick real life gross reason stories fired ,1,today didn told wanted made,-0.6,N,0,AGREEMENT,208,114,9,331
219274,Sometimes I write confessions as if they are happening right now when really they happened in the past before this site was here. It helps to heal the leftover stress.,write confessions happening happened past site helps heal leftover stress ,1,today didn told wanted made,0.6,P,0,AGREEMENT,267,32,17,316
15402,"I wish you could ""jump to"" a certain page, not just a certain confession, this would be so much easier that way :)",jump page confession easier ,1,today didn told wanted made,0.5,P,0.1,AGREEMENT,0,272,4,276
123707,I think it's a bit ridiculous that people think they have to pray hard enough for the things they want. Get off your ass and get it yourself.,bit ridiculous people pray hard things ass ,1,today didn told wanted made,-0.6,N,0,AGREEMENT,215,38,6,259
22727,"Didn't see my family at all yesterday, spent the holiday with my Hubby's family, it was wonderful! I didn't have to endure playing ""Happy Family"" with the dysfunctional people and I don't feel bad about it!",didn family yesterday spent holiday hubby family wonderful didn endure playing happy family dysfunctional people don feel bad ,1,today didn told wanted made,0.35,P,0.8,DISAGREEMENT,246,13,0,259
26608,"I used to fantasize about driving my car off a cliff or into a semi, but I never could because I don't want anyone else to get hurt. I told my husband a few weeks ago and he just said ""Me too."" Wow, our life stinks.",fantasize driving car cliff semi don hurt told husband weeks ago wow life stinks ,1,today didn told wanted made,0.1,NEU,0.7,DISAGREEMENT,0,246,10,256
112287,"I drive a nice car & get wic, I was let go of a well paying job at 2 months pp. Don't assume you know everybody's story!",drive nice car wic paying job months pp don assume story ,1,today didn told wanted made,0.67,P+,0.09,AGREEMENT,81,4,167,252
265443,I really don't think anybody would notice if i disappeared.,don notice disappeared ,1,today didn told wanted made,N,N,N,N,81,4,167,252
274526,OMG CHILDREN. STOP SAYING PENIS!!! the last 20 fucking minutes all I've heard is penis thrown into the conversation just to piss me off. I'm about to backhand the next one that says it again...,omg children stop penis fucking minutes ve heard penis thrown conversation piss backhand ,1,today didn told wanted made,-0.8,N+,0,AGREEMENT,81,4,167,252
16105,"I have a catalog of Bday party stuff u can order. I can't aford to order, but I'm not gonna give it 2 my sis-i-l because she's been a total bitch lately, & I don't want her kids Bday party @ be better than my DS.",catalog bday party stuff order aford order gonna give sis total bitch don kids bday party ds ,1,today didn told wanted made,-0.9,N+,0.1,AGREEMENT,0,235,4,239
94281,Noticed a lady's cute reading glasses. She told me she got them at Dollar Tree for $1. So I went there and got 5 different cute pairs. I can leave them all over the house now!,noticed lady cute reading glasses told dollar tree cute pairs leave house ,1,today didn told wanted made,0.6,P,0,AGREEMENT,198,37,2,237
30467,"I'm timing my kids bedtime showers by reading the latest confessions, it's about 4 pages a shower on my iPhone. Next kid in!!!",timing kids bedtime showers reading latest confessions pages shower iphone kid ,1,today didn told wanted made,N,N,N,N,40,14,170,224
217686,"DH had yet another seizure in his sleep last night. Sometimes, I'd love to get my hands on the redneck idiot who was too drunk to check the building he used for target practice for kids playing in it first.",dh seizure sleep night love hands redneck idiot drunk check building target practice kids playing ,1,today didn told wanted made,N,N,N,N,0,31,184,215
236237,My husband bought Monistat for me. He is a keeper.,husband bought monistat keeper ,1,today didn told wanted made,N,N,N,N,0,31,184,215
234368,Was told by an old lady at the store earlier that a house without children is like a garden without flowers. My LO was having a temper tantrum at the time. She is lucky I didnt punch her in the throat! fucking old biddies!!,told lady store earlier house children garden flowers lo temper tantrum time lucky didnt punch throat fucking biddies ,1,today didn told wanted made,-0.7,N+,0.1,AGREEMENT,15,51,137,203
19408,"I despise people who cut in line. We were waiting in line the other day at a grocery store, and some old guy just butted in front of us. At first I thought he was with the person in front of us, but nope. A**hole.",despise people cut line waiting line day grocery store guy butted front thought person front nope hole ,1,today didn told wanted made,-0.6,N,0,AGREEMENT,4,192,3,199
33338,"So very glad that I tried my new anal beads by myself this afternoon. Would have been mortified, had my husband been home to take them out. Might need to do a bit of research before I try them with him.",glad anal beads afternoon mortified husband home bit research ,1,today didn told wanted made,0.8,P+,0,AGREEMENT,1,188,6,195
27168,My DH's boss is a real (sorry ladies) c u next Tuesday! He had a go at my DH for booking a day off for my birthday! Maybe if he had a wife rather than having to pay for sex he wouldn't be so bitter and twisted!,dh boss real ladies tuesday dh booking day birthday wife pay sex wouldn bitter twisted ,1,today didn told wanted made,0.6,P,0,AGREEMENT,155,35,1,191
28025,"I have a favorite child. Oh wait, I only have one child. Oops! Btw, my parent's favorites are the biggest assholes in society just like mommy and daddy. Just sayin'.",favorite child wait child oops btw parent favorites biggest assholes society mommy daddy sayin ,1,today didn told wanted made,0,NEU,0.7,DISAGREEMENT,3,179,9,191
200268,havent had sex in like 7m bf in the army.. gunna see him in 12 days. omg the anticipation.. its killing me.. i'm going to burst.. i have all these emotions running thru my body and mind. i miss my friend...,havent sex bf army gunna days omg anticipation killing burst emotions running body mind miss friend ,1,today didn told wanted made,0,NEU,0.6,DISAGREEMENT,15,1,173,189
14523,"My boss just left work with his girlfriend. All I can think is ""Bow chica wow wow"". I'm in a long distance relationship and am SO jealous. I wish I could have a nooner. It'll be worth the wait when I see my BF, though.",boss left work girlfriend bow chica wow wow long distance relationship jealous nooner ll worth wait bf ,1,today didn told wanted made,N,N,N,N,1,184,1,186
26645,I didn't go to my mom's on MD. I gave her gift to her on Friday and called her yest. It was the best MD EVER. I did NOTHING by the pool and played with my kids. AWESOME.,didn mom md gave gift friday called yest md pool played kids awesome ,1,today didn told wanted made,0.73,P+,0.09,AGREEMENT,100,84,1,185
15987,"Read today that Abercrombie is taking some heat for their ""push-up"" tops for young girls... Target is no better. I sure didn't have a lime green bra when I was still wearing 'girls' sizes!!! I am SO glad I have a boy!",read today abercrombie taking heat push tops young girls target didn lime green bra wearing girls sizes glad boy ,1,today didn told wanted made,-0.1,NEU,0.7,DISAGREEMENT,1,181,3,185
45431,wow i don't want to do anything today. same as yesterday lol.,wow don today yesterday lol ,1,today didn told wanted made,0.6,P,0,AGREEMENT,21,6,155,182
21748,my cute little son wanted to show me his stickers.....that he put on the wall. I guess I will make a trip to the post office to get more stamps!,cute son wanted show stickers put wall guess make trip post office stamps ,1,today didn told wanted made,0.6,P+,0.2,AGREEMENT,0,179,2,181
41345,I tanned topless today & now my nipples are sunburned.,tanned topless today nipples sunburned ,1,today didn told wanted made,N,N,N,N,1,173,4,178
