PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Oveall
126733,You called me at work after I had been there for 10 fucking minutes to ask me if you had enough money for eggs?? I mean really.....do you need me to hold your dick for you when you piss too??,called work fucking minutes money eggs hold dick piss ,2,dh fucking fuck shit ass,-0.8,N+,0,AGREEMENT,632,95,319,1046
215899,"I wanna go back to West Virginia, dh could become a coal miner and I could get my old cleaning job back, Floridas got no jobs and it totally sucks to be alone here :(",wanna back west virginia dh coal miner cleaning job back floridas jobs totally sucks ,2,dh fucking fuck shit ass,-0.8,N+,0.16,AGREEMENT,151,105,664,920
266062,"I get so fucking tired of hearing the word mommy sometimes... I just want to pull all my hair out and scream!!! I have to tell myself ""I love them... I love them...""",fucking tired hearing word mommy pull hair scream love love ,2,dh fucking fuck shit ass,0.8,P+,0,AGREEMENT,151,105,664,920
234437,I'm alone at a hotel on the beach. I'm so so tired I can't even imagine walking down to the water. I have dark circles under my eyes and look like hell bcuz I've just been thru hell. Hope this helps somehow,hotel beach tired imagine walking water dark circles eyes hell bcuz ve hell hope helps ,2,dh fucking fuck shit ass,-0.7,N+,0.1,AGREEMENT,12,751,58,821
220134,"Wondering when, exactly, I became an indentured servant to my family.",wondering indentured servant family ,2,dh fucking fuck shit ass,-0.6,N,0,AGREEMENT,415,27,55,497
197935,"My son began a story with ""My friend Sully..."" and I was like what the actual fuck?!? Who calls their kid Sully in this day and age?!?",son began story friend sully actual fuck calls kid sully day age ,2,dh fucking fuck shit ass,-0.8,N+,0,AGREEMENT,349,10,38,397
234447,I want a baby so bad I am about to just stop taking birth control and tell my husband that its his turn to use a form of birth control if he doesn't want me getting pregnant...he hates condoms...it might work.,baby bad stop taking birth control husband turn form birth control doesn pregnant hates condoms work ,2,dh fucking fuck shit ass,-0.7,N+,0.1,AGREEMENT,91,178,54,323
109540,"109532 Hmmm, ever watch the Big Bang Theory? Call him that condescending ""sweetie"" that Penny uses on Sheldon.",hmmm watch big bang theory call condescending sweetie penny sheldon ,2,dh fucking fuck shit ass,N,N,N,N,8,0,235,243
272187,"I can come up with believable 'cover stories' at the drop of a hat and with a straight face, i consider it a secret super power and i swear i only use it for good...well...MY good lol",believable cover stories drop hat straight face secret super power swear good good lol ,2,dh fucking fuck shit ass,0.72,P+,0.11,AGREEMENT,8,0,235,243
272181,"I typed ""Children shut the fuck up!"" in the google search bar.... it sent me here",typed children shut fuck google search bar ,2,dh fucking fuck shit ass,-0.8,N+,0,AGREEMENT,8,0,235,243
211838,What a stupid fool I am.,stupid fool ,2,dh fucking fuck shit ass,-0.5,N,0.1,AGREEMENT,37,0,177,214
12107,i'm so sick and tired of people's unsolicited advice about my pregnancy. stop saying stupid things and mind your own f'ing business!!,sick tired people unsolicited advice pregnancy stop stupid things mind ing business ,2,dh fucking fuck shit ass,-0.6,N,0,AGREEMENT,6,205,1,212
21356,"My 4 year old daughter wont listen. It's like she is always inside her own head, & I swear what she hears when I talk is much like Charlie Browns mom. Sometimes i want to whack her in the head and yell PAY ATTENTION",year daughter wont listen inside head swear hears talk charlie browns mom whack head yell pay attention ,2,dh fucking fuck shit ass,-0.6,N,0,AGREEMENT,3,9,196,208
