Keywords,Frequency_all,Keyword,Frequency_topic
kids,28533,kids,3628
eat,3948,eat,3135
weight,2651,weight,2933
hate,17135,hate,2916
fat,3317,fat,2901
feel,21156,feel,2845
time,20528,time,2737
dh,30943,dh,2706
eating,2050,eating,2607
love,19390,love,2418
day,16246,day,2275
today,11606,today,2230
food,3039,food,2190
put,5140,put,2118
ate,1370,ate,2118
dinner,2771,dinner,2116
big,3017,big,2050
make,9581,make,2019
lose,2152,lose,1935
husband,17176,husband,1798
good,9704,good,1760
lost,2707,lost,1691
buy,2223,buy,1549
back,9742,back,1546
lbs,1535,lbs,1543
dog,2184,dog,1540
work,12490,work,1530
baby,9659,baby,1493
made,4524,made,1436
wear,1288,wear,1429
fucking,8433,fucking,1408
shit,7683,shit,1338
people,10332,people,1319
ass,6032,ass,1310
house,8538,house,1267
smell,1029,smell,1234
bad,8649,bad,1226
home,9734,home,1175
chocolate,915,chocolate,1164
body,1714,body,1161
year,7901,year,1140
told,6403,told,1132
ds,10330,ds,1132
diet,955,diet,1111
pants,1158,pants,1110
dd,11106,dd,1108
night,9060,night,1106
size,901,size,1100
stop,5979,stop,1076
toilet,1039,toilet,1036
